direction,coherence,reversal,duration,finalDuration
180,100,0,.4,NaN
180,100,0,.4,NaN
180,100,0,.4,NaN
180,100,0,.4,NaN
180,100,0.2,.4,NaN
180,100,0.2,.4,NaN
180,100,0.2,.4,NaN
180,100,0.2,.4,NaN
0,100,0,.4,NaN
0,100,0,.4,NaN
0,100,0,.4,NaN
0,100,0,.4,NaN
0,100,0.2,.4,NaN
0,100,0.2,.4,NaN
0,100,0.2,.4,NaN
0,100,0.2,.4,NaN
180,100,0,.4,NaN
180,100,0,.4,NaN
180,100,0,.4,NaN
180,100,0,.4,NaN
180,100,0.2,.4,NaN
180,100,0.2,.4,NaN
180,100,0.2,.4,NaN
180,100,0.2,.4,NaN
0,100,0,.4,NaN
0,100,0,.4,NaN
0,100,0,.4,NaN
0,100,0,.4,NaN
0,100,0.2,.4,NaN
0,100,0.2,.4,NaN
0,100,0.2,.4,NaN
0,100,0.2,.4,NaN
